country,annais,births,categorized_births,Traditionnel_pct,Moderne_pct,Inventé_pct,Européen_pct,Musulman_pct,Africain_pct,Asiatique_pct
France,1900,396781,393771,98.63,0.0,0.1,1.21,0.06,0.0,0.0
France,1901,435012,431827,98.61,0.01,0.1,1.22,0.06,0.0,0.0
France,1902,447275,444134,98.6,0.01,0.1,1.23,0.06,0.0,0.0
France,1903,450347,447210,98.66,0.01,0.1,1.18,0.05,0.0,0.0
France,1904,460561,457241,98.65,0.0,0.08,1.21,0.06,0.0,0.0
France,1905,470988,467608,98.68,0.01,0.09,1.16,0.06,0.0,0.0
France,1906,482591,479283,98.68,0.01,0.09,1.16,0.06,0.0,0.0
France,1907,482303,478942,98.66,0.01,0.1,1.17,0.07,0.0,0.0
France,1908,505949,502398,98.65,0.01,0.09,1.19,0.07,0.0,0.0
France,1909,506857,503376,98.71,0.01,0.09,1.13,0.07,0.0,0.0
France,1910,515746,512068,98.68,0.01,0.07,1.16,0.08,0.0,0.0
France,1911,495021,491432,98.67,0.01,0.09,1.15,0.08,0.0,0.0
France,1912,526060,522376,98.65,0.01,0.08,1.19,0.08,0.0,0.0
France,1913,527991,524274,98.67,0.0,0.07,1.18,0.07,0.0,0.0
France,1914,519321,515711,98.74,0.0,0.07,1.13,0.06,0.0,0.0
France,1915,333647,330976,98.84,0.01,0.06,1.03,0.06,0.0,0.0
France,1916,265623,263321,98.85,0.0,0.06,1.01,0.07,0.0,0.0
France,1917,289037,286444,98.87,0.01,0.07,0.99,0.06,0.0,0.0
France,1918,330584,327960,98.99,0.0,0.06,0.89,0.06,0.0,0.0
France,1919,368083,365665,99.13,0.01,0.05,0.77,0.05,0.0,0.0
France,1920,628907,625350,99.09,0.0,0.04,0.81,0.05,0.0,0.0
France,1921,616335,612616,99.07,0.01,0.04,0.83,0.05,0.0,0.0
France,1922,590078,586542,99.07,0.01,0.05,0.83,0.05,0.0,0.0
France,1923,595302,590961,98.95,0.01,0.05,0.94,0.05,0.0,0.0
France,1924,597114,591799,98.75,0.01,0.07,1.11,0.06,0.0,0.0
France,1925,613690,607577,98.66,0.01,0.06,1.21,0.06,0.0,0.0
France,1926,615288,608978,98.63,0.01,0.06,1.23,0.07,0.0,0.0
France,1927,609103,603181,98.69,0.01,0.07,1.17,0.06,0.0,0.0
France,1928,614545,609094,98.79,0.01,0.06,1.08,0.06,0.0,0.0
France,1929,605990,600758,98.76,0.02,0.07,1.09,0.06,0.0,0.0
France,1930,632933,627349,98.66,0.02,0.08,1.18,0.06,0.0,0.0
France,1931,625681,619929,98.61,0.02,0.1,1.22,0.06,0.0,0.0
France,1932,618373,613132,98.75,0.03,0.11,1.07,0.06,0.0,0.0
France,1933,586415,581765,98.87,0.03,0.12,0.93,0.06,0.0,0.0
France,1934,590675,586169,98.86,0.04,0.14,0.91,0.05,0.0,0.0
France,1935,562179,558281,98.92,0.06,0.16,0.83,0.04,0.0,0.0
France,1936,557274,553592,98.91,0.07,0.22,0.76,0.05,0.0,0.0
France,1937,549417,545741,98.85,0.09,0.24,0.77,0.06,0.0,0.0
France,1938,544152,540416,98.83,0.1,0.28,0.74,0.06,0.0,0.0
France,1939,544107,540235,98.83,0.11,0.3,0.71,0.06,0.0,0.0
France,1940,493168,489728,98.88,0.1,0.28,0.69,0.06,0.0,0.0
France,1941,466368,463316,98.52,0.13,0.35,0.95,0.06,0.0,0.0
France,1942,515610,512282,98.5,0.14,0.36,0.95,0.07,0.0,0.0
France,1943,557426,553763,98.45,0.15,0.4,0.94,0.08,0.0,0.0
France,1944,563254,559106,98.4,0.17,0.43,0.93,0.08,0.0,0.0
France,1945,570479,566364,98.48,0.21,0.49,0.73,0.11,0.0,0.0
France,1946,841787,837922,98.37,0.25,0.54,0.74,0.13,0.0,0.0
France,1947,867944,864136,98.3,0.28,0.6,0.72,0.15,0.0,0.0
France,1948,866027,862148,98.19,0.34,0.61,0.75,0.17,0.0,0.0
France,1949,867471,863310,98.09,0.35,0.6,0.83,0.19,0.0,0.0
France,1950,857117,852820,97.98,0.4,0.6,0.85,0.24,0.01,0.0
France,1951,822170,818073,97.78,0.47,0.68,0.87,0.29,0.01,0.0
France,1952,819286,815134,97.71,0.55,0.61,0.9,0.34,0.01,0.0
France,1953,801583,797240,97.52,0.61,0.6,0.98,0.41,0.01,0.0
France,1954,806826,802409,97.36,0.67,0.59,1.03,0.5,0.02,0.0
France,1955,802930,798404,97.08,0.78,0.6,1.11,0.6,0.02,0.0
France,1956,803006,798422,96.88,0.78,0.56,1.24,0.7,0.03,0.0
France,1957,811787,806846,96.73,0.83,0.5,1.3,0.8,0.03,0.0
France,1958,806402,801410,96.6,0.85,0.46,1.4,0.88,0.04,0.0
France,1959,821874,816540,96.25,0.93,0.45,1.59,0.98,0.04,0.0
France,1960,813152,807432,95.78,1.01,0.43,1.75,1.25,0.06,0.0
France,1961,830544,824672,95.58,1.01,0.4,1.79,1.48,0.06,0.0
France,1962,824901,818824,95.39,1.05,0.38,1.84,1.63,0.07,0.0
