COG,departement,commune,population,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score,Number_of_Mosques,Mosque_p100k
1001,01,L'Abergement-Clémenciat,859,36,47,18,63,14,0,0.0
1002,01,L'Abergement-de-Varey,273,25,47,18,63,14,0,0.0
1004,01,Ambérieu-en-Bugey,15554,113,79,179,108,14,2,12.86
1005,01,Ambérieux-en-Dombes,1917,43,47,18,63,14,0,0.0
1006,01,Ambléon,114,25,47,18,63,14,0,0.0
1007,01,Ambronay,2828,52,47,18,63,14,0,0.0
1008,01,Ambutrix,764,36,47,18,63,14,0,0.0
1009,01,Andert-et-Condon,335,29,47,18,63,14,0,0.0
1010,01,Anglefort,1150,43,47,18,63,14,0,0.0
1011,01,Apremont,399,35,47,18,63,14,0,0.0
1012,01,Aranc,329,29,47,18,63,14,0,0.0
1013,01,Arandas,140,30,47,18,63,14,0,0.0
1014,01,Arbent,3482,54,47,47,92,14,0,0.0
1015,01,Arboys en Bugey,688,34,47,18,63,14,0,0.0
1016,01,Arbigny,459,31,47,18,63,14,0,0.0
1017,01,Argis,420,32,47,18,63,14,0,0.0
1019,01,Armix,25,4,47,18,63,14,0,0.0
1021,01,Ars-sur-Formans,1513,42,47,18,63,14,0,0.0
1022,01,Artemare,1141,42,47,18,63,14,0,0.0
1023,01,Asnières-sur-Saône,77,20,47,18,63,14,0,0.0
1024,01,Attignat,3372,71,47,18,63,14,0,0.0
1025,01,Bâgé-Dommartin,4057,39,47,18,63,14,0,0.0
1026,01,Bâgé-le-Châtel,987,136,47,18,63,14,0,0.0
1027,01,Balan,2878,35,47,18,63,14,0,0.0
1028,01,Baneins,618,197,47,18,63,14,0,0.0
1029,01,Beaupont,717,37,47,18,63,14,0,0.0
1030,01,Beauregard,826,40,47,18,63,14,0,0.0
1031,01,Bellignat,3581,90,47,18,63,14,0,0.0
1032,01,Béligneux,3484,48,47,18,63,14,0,0.0
1033,01,Valserhône,16162,113,59,458,69,14,7,43.31
1034,01,Belley,9270,79,47,342,63,14,3,32.36
1035,01,Belleydoux,306,32,47,18,63,14,0,0.0
1036,01,Valromey-sur-Séran,1350,36,47,18,63,14,0,0.0
1037,01,Bénonces,311,37,47,18,63,14,0,0.0
1038,01,Bény,769,35,47,18,63,14,0,0.0
1040,01,Béréziat,481,33,47,18,63,14,0,0.0
1041,01,Bettant,762,37,47,18,63,14,0,0.0
1042,01,Bey,290,27,47,18,63,14,0,0.0
1043,01,Beynost,4936,66,47,18,63,14,0,0.0
1044,01,Billiat,669,38,47,18,63,14,0,0.0
1045,01,Birieux,280,27,47,18,63,14,0,0.0
1046,01,Biziat,897,148,47,18,63,14,0,0.0
1047,01,Blyes,1351,38,121,18,137,14,0,0.0
1049,01,La Boisse,3401,43,47,18,63,14,0,0.0
1050,01,Boissey,390,28,47,18,63,14,0,0.0
1051,01,Bolozon,99,19,47,18,63,14,0,0.0
