departement,population,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score,Number_of_Mosques,Mosque_p100k
01,671289,54,46,77,64,15,39,5.81
02,525558,65,40,39,62,19,14,2.66
03,334715,52,37,50,57,16,14,4.18
04,167179,59,55,54,76,14,7,4.19
05,141677,61,47,22,59,19,2,1.41
06,1114579,76,58,66,72,13,47,4.22
07,333229,49,41,54,63,16,15,4.5
08,267204,53,37,52,58,19,11,4.12
09,155339,63,41,75,58,15,10,6.44
10,311076,57,40,94,58,14,24,7.72
11,377773,70,47,65,62,15,19,5.03
12,279736,41,33,28,52,17,6,2.14
13,2069811,109,57,82,74,14,108,5.22
14,704605,49,33,20,52,14,8,1.14
15,144399,36,32,27,54,16,3,2.08
16,351603,55,33,18,55,19,3,0.85
17,668160,54,37,15,56,16,5,0.75
18,299496,50,37,43,55,13,9,3.0
19,240120,44,37,51,53,14,10,4.16
21,537577,55,37,51,53,13,21,3.91
22,609598,44,32,15,52,16,4,0.66
23,115529,47,32,45,49,18,4,3.46
24,416325,41,39,26,57,16,6,1.44
25,548662,56,41,69,57,13,30,5.47
26,521432,68,47,41,64,14,12,2.3
27,601305,51,41,59,62,16,27,4.49
28,432950,50,46,72,65,15,22,5.08
29,927912,46,34,17,53,15,7,0.75
2A,166045,52,54,96,69,15,14,8.43
2B,185231,51,55,55,69,16,8,4.32
30,764010,67,58,75,74,16,35,4.58
31,1456261,71,48,41,63,12,27,1.85
32,192649,44,32,53,51,13,9,4.67
33,1674980,70,43,34,59,14,33,1.97
34,1217331,83,54,61,69,14,45,3.7
35,1109232,53,37,22,54,15,12,1.08
36,216809,52,42,19,63,16,2,0.92
37,616326,56,38,28,54,14,9,1.46
38,1291380,77,52,66,69,14,56,4.34
39,258405,43,35,69,56,15,16,6.19
40,428427,52,38,13,54,13,3,0.7
41,328953,53,40,39,57,13,8,2.43
42,772041,66,52,82,68,14,44,5.7
43,228161,40,35,21,56,15,3,1.32
44,1473156,61,39,28,56,14,20,1.36
45,687063,57,51,77,66,12,35,5.09
46,175620,41,32,35,53,13,5,2.85
47,332226,55,47,74,64,15,19,5.72
48,76503,45,27,32,60,17,2,2.61
49,845126,45,35,27,54,14,13,1.54
50,496815,39,28,11,46,16,3,0.6
51,564107,67,38,54,55,14,23,4.08
52,169865,49,33,80,58,19,12,7.06
53,305437,43,33,22,52,15,4,1.31
54,732898,53,43,66,60,13,37,5.05
55,180745,59,33,112,53,17,19,10.51
56,776103,46,33,25,52,16,13,1.68
57,1050721,48,49,73,65,13,54,5.14
58,202299,50,38,33,60,19,5,2.47
59,2616909,72,46,66,63,15,112,4.28
60,830725,63,51,69,67,15,37,4.45
61,276144,46,34,47,57,17,10,3.62
62,1460184,62,34,35,56,20,38,2.6
63,664385,56,39,57,56,14,28,4.21
64,699473,46,41,19,60,15,7,1.0
65,231453,47,37,21,56,13,3,1.3
66,492964,69,47,63,66,15,23,4.67
67,1156963,47,44,62,59,11,48,4.15
68,767800,52,50,72,65,12,36,4.69
69,1907982,88,53,78,67,11,94,4.93
70,233920,47,47,65,67,15,12,5.13
71,549136,45,41,55,59,14,22,4.01
72,566129,54,37,33,55,15,11,1.94
73,445288,58,43,62,58,13,22,4.94
74,849583,64,48,64,63,12,39,4.59
75,2113705,140,51,53,61,8,60,2.84
76,1260205,63,43,49,62,15,36,2.86
77,1452399,67,58,72,76,16,67,4.61
78,1470778,66,60,85,72,11,74,5.03
79,375415,43,31,28,51,14,7,1.86
80,565540,60,33,37,51,15,15,2.65
81,396168,46,40,48,56,12,15,3.79
82,264924,49,43,56,61,15,10,3.78
83,1108364,71,50,51,68,15,35,3.16
84,568702,81,57,88,71,14,34,5.98
85,706343,45,34,10,55,17,3,0.42
86,438688,51,36,20,55,14,4,0.91
87,372438,48,36,37,55,14,9,2.42
88,358700,50,34,61,54,16,19,5.3
89,333896,54,44,64,64,17,16,4.79
90,140082,49,53,82,70,15,8,5.71
91,1324546,77,70,77,83,13,52,3.93
92,1647435,69,55,62,65,9,52,3.16
93,1681725,126,103,161,112,16,158,9.4
94,1419531,80,70,93,84,13,76,5.35
95,1270845,82,72,118,86,13,93,7.32
971,383569,139,52,21,89,33,0,0.0
972,361019,132,52,23,88,33,0,0.0
973,288382,194,67,16,82,23,0,0.0
974,881348,56,54,26,83,28,0,0.0
976,256518,151,186,92,157,19,0,0.0
