COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score,Number_of_Mosques,Mosque_p100k
1001,01,L'Abergement-Clémenciat,859,0.0,0,7.0,36,51,21,70,22,0,0.0
1002,01,L'Abergement-de-Varey,273,0.0,0,0.0,25,51,21,70,15,0,0.0
1004,01,Ambérieu-en-Bugey,15554,11.54,1,30.0,125,95,193,127,103,2,12.86
1005,01,Ambérieux-en-Dombes,1917,0.0,0,14.0,43,51,21,70,29,0,0.0
1006,01,Ambléon,114,0.0,0,0.0,25,51,21,70,15,0,0.0
1007,01,Ambronay,2828,0.0,0,11.0,52,51,21,70,26,0,0.0
1008,01,Ambutrix,764,0.0,0,5.0,36,51,21,70,20,0,0.0
1009,01,Andert-et-Condon,335,0.0,0,0.0,29,51,21,70,15,0,0.0
1010,01,Anglefort,1150,0.0,0,9.0,43,51,21,70,24,0,0.0
1011,01,Apremont,399,0.0,0,15.0,35,51,21,70,30,0,0.0
1012,01,Aranc,329,0.0,0,7.0,29,51,21,70,22,0,0.0
1013,01,Arandas,140,0.0,0,3.0,30,51,21,70,18,0,0.0
1014,01,Arbent,3482,0.0,0,28.0,54,51,49,99,43,0,0.0
1015,01,Arboys en Bugey,688,0.0,0,1.0,34,51,21,70,16,0,0.0
1016,01,Arbigny,459,0.0,0,3.0,31,51,21,70,18,0,0.0
1017,01,Argis,420,0.0,0,3.0,32,51,21,70,18,0,0.0
1019,01,Armix,25,0.0,0,0.0,4,51,21,70,15,0,0.0
1021,01,Ars-sur-Formans,1513,0.0,0,8.0,42,51,21,70,23,0,0.0
1022,01,Artemare,1141,0.0,0,15.0,42,51,21,70,30,0,0.0
1023,01,Asnières-sur-Saône,77,0.0,0,0.0,20,51,21,70,15,0,0.0
1024,01,Attignat,3372,0.0,0,12.0,71,51,21,70,27,0,0.0
