departement,population,Total_FdS_Insécurité,Total_FdS_Immigration,Total_FdS_Islamisme,Total_FdS_Défrancisation,Total_FdS_Wokisme,Total_Mosques,Mosques_per_100k,Crime_Coups_et_blessures_volontaires_p1k,Crime_Coups_et_blessures_volontaires_intrafamiliaux_p1k,Crime_Autres_coups_et_blessures_volontaires_p1k,Crime_Violences_sexuelles_p1k,Crime_Vols_avec_armes_p1k,Crime_Vols_violents_sans_arme_p1k,Crime_Vols_sans_violence_contre_des_personnes_p1k,Crime_Cambriolages_de_logement_p1k,Crime_Vols_de_véhicules_p1k,Crime_Vols_dans_les_véhicules_p1k,Crime_Vols_d_accessoires_sur_véhicules_p1k,Crime_Destructions_et_dégradations_volontaires_p1k,Crime_Usage_de_stupéfiants_p1k,Crime_Usage_de_stupéfiants_AFD_p1k,Crime_Trafic_de_stupéfiants_p1k,Crime_Escroqueries_p1k,Crime_Homicides_p100k,Crime_Tentatives_d_homicides_p100k,Prenom_Traditionnel_pct,Prenom_Moderne_pct,Prenom_Inventé_pct,Prenom_Européen_pct,Prenom_Musulman_pct,Prenom_Africain_pct,Prenom_Asiatique_pct,FdS_Insécurité_per_1k,FdS_Immigration_per_1k,FdS_Islamisme_per_1k,FdS_Défrancisation_per_1k,FdS_Wokisme_per_1k
01,671289,34,13,2,5,3,37,5.512,3.7242,2.3611,1.363,1.5984,0.0506,0.2071,4.6269,8.545,1.8025,2.5682,1.2022,6.2581,2.303,1.6371,0.3084,5.8842,0.8938,3.5752,37.57,4.82,14.21,25.06,18.33,0.35,0.2,0.051,0.019,0.003,0.007,0.004
02,525558,23,11,3,9,5,14,2.664,5.478,3.2689,2.2091,2.0416,0.0647,0.2911,5.048,6.2001,2.3061,2.5725,1.7296,9.1883,3.7884,2.1311,0.3425,6.2372,1.5222,6.279,40.97,4.86,17.72,24.8,12.17,0.0,0.53,0.044,0.021,0.006,0.017,0.01
03,334715,7,7,1,4,2,13,3.884,4.0542,2.2825,1.7717,1.7119,0.0418,0.1613,4.9296,4.9651,0.8037,1.5446,0.6483,7.5019,4.8459,2.9428,0.6423,6.0798,1.7926,2.6888,45.21,4.56,15.7,26.51,8.34,0.2,0.2,0.021,0.021,0.003,0.012,0.006
04,167179,3,1,0,1,1,7,4.187,4.8511,3.0207,1.8304,1.8663,0.0419,0.2393,5.527,4.2417,1.316,2.4584,0.8673,8.4101,7.5249,2.925,0.5025,6.3824,0.5982,4.1871,27.03,6.76,13.85,41.55,11.82,0.0,1.01,0.018,0.006,0.0,0.006,0.006
05,141677,16,18,4,8,6,2,1.412,4.7573,2.6327,2.1246,2.3081,0.0635,0.2682,7.2983,2.4021,1.1787,1.7434,0.5011,7.8982,4.7855,2.3998,0.5505,6.296,0.0,2.1175,47.81,4.2,14.36,29.42,5.25,0.0,0.0,0.113,0.127,0.028,0.056,0.042
06,1114579,41,36,9,14,10,46,4.127,5.7537,3.2461,2.5077,1.4248,0.1184,0.943,12.7896,4.0879,2.3291,3.2165,0.8272,9.3398,5.1302,3.8535,1.0488,7.0107,2.0636,7.1776,30.99,3.73,11.78,31.24,22.65,0.56,0.44,0.037,0.032,0.008,0.013,0.009
07,333229,29,11,7,5,4,15,4.501,3.8502,2.0346,1.8156,1.6385,0.033,0.1651,4.5674,3.4863,1.3204,1.2754,0.4952,6.8541,3.193,1.8006,0.3841,5.0206,0.6002,2.1007,39.46,8.13,15.21,30.57,6.48,0.45,0.45,0.087,0.033,0.021,0.015,0.012
08,267204,9,4,1,3,3,11,4.117,5.8981,3.2747,2.6235,1.8712,0.0524,0.3106,5.1421,6.0636,1.4334,1.9536,0.887,8.4093,3.0239,1.6691,0.2507,4.4049,0.3743,1.8712,43.07,4.35,17.53,24.86,10.19,0.0,0.46,0.034,0.015,0.004,0.011,0.011
09,155339,13,9,3,4,3,10,6.438,4.8088,2.7295,2.0793,1.9119,0.0515,0.1159,5.9097,3.6281,0.8755,1.7317,0.721,8.8194,3.5857,2.0407,0.5279,5.2015,2.575,7.725,45.06,6.9,13.33,25.75,8.28,0.0,0.69,0.084,0.058,0.019,0.026,0.019
10,311076,6,3,1,3,2,24,7.715,5.4617,3.0475,2.4142,1.9449,0.0386,0.2957,6.2139,6.5849,1.4498,2.9607,1.2891,6.9951,2.0799,0.7233,0.4179,5.9535,0.9644,5.7864,44.24,4.33,13.72,21.72,16.36,0.29,0.22,0.019,0.01,0.003,0.01,0.006
11,377773,24,14,6,5,6,17,4.5,5.2042,2.8377,2.3665,1.7709,0.0635,0.3891,7.3219,6.0226,1.9774,4.2459,1.6465,9.9981,3.203,2.1018,0.5612,5.5139,1.853,6.6177,40.16,4.63,13.09,29.35,13.5,0.0,0.41,0.064,0.037,0.016,0.013,0.016
12,279736,11,5,2,6,7,6,2.145,3.2066,1.8231,1.3834,1.3477,0.0143,0.1251,3.3925,3.1251,0.6542,0.9151,0.4183,5.2264,3.5676,1.9983,0.5541,4.969,0.3575,4.2898,50.22,4.74,14.41,24.98,6.09,0.0,0.0,0.039,0.018,0.007,0.021,0.025
13,2069811,50,29,21,21,10,107,5.17,5.8851,3.0863,2.7988,1.4924,0.2778,1.5378,12.3238,9.3581,4.9333,8.5911,3.2916,10.2459,11.2667,9.8492,2.0441,7.1818,3.0921,9.0346,28.63,3.42,13.8,25.99,28.67,0.77,0.38,0.024,0.014,0.01,0.01,0.005
14,704605,14,10,0,7,3,8,1.135,4.6636,2.7533,1.9103,1.9018,0.044,0.2498,5.9963,3.6512,1.1936,2.3687,0.7976,6.8932,3.0145,1.8379,0.2838,5.4087,1.2773,2.9804,50.0,4.44,14.04,22.62,8.96,0.2,0.29,0.02,0.014,0.0,0.01,0.004
15,144399,7,4,2,3,0,2,1.385,2.9917,1.6205,1.3712,1.7936,0.0139,0.1385,2.8809,1.9389,0.4501,0.6717,0.2562,5.3948,1.8906,0.5609,0.4571,4.8477,0.0,3.4626,48.77,6.71,15.88,24.38,4.92,0.0,0.0,0.048,0.028,0.014,0.021,0.0
16,351603,11,7,3,3,2,3,0.853,4.9118,2.6792,2.2326,2.2099,0.0483,0.3612,5.839,5.6984,1.1945,2.3578,1.0552,8.0204,2.5825,1.0893,0.6342,6.4021,1.4221,2.8441,46.97,4.2,18.11,22.37,8.34,0.0,0.74,0.031,0.02,0.009,0.009,0.006
17,668160,17,7,2,1,2,5,0.748,4.252,2.4515,1.8005,2.0998,0.0239,0.2469,6.708,5.6393,1.9666,2.5054,1.3051,8.2001,3.4109,1.9037,0.4445,5.6184,0.449,2.5443,44.86,4.59,15.27,28.06,6.97,0.23,0.49,0.025,0.01,0.003,0.001,0.003
18,299496,6,6,4,5,0,9,3.005,3.9032,2.3172,1.586,1.5459,0.0401,0.3306,4.5443,7.9934,1.4858,1.97,1.3222,7.5293,2.581,1.7329,0.2237,5.4291,1.0017,2.0034,48.02,5.29,13.13,22.82,11.28,0.53,0.26,0.02,0.02,0.013,0.017,0.0
19,240120,11,10,6,7,7,10,4.165,4.3978,2.6987,1.6992,1.7533,0.0167,0.1541,4.6352,4.0293,0.658,0.7913,0.404,5.6847,2.7153,1.1328,0.4373,5.3931,0.8329,1.6658,50.83,5.61,11.31,25.64,7.26,0.0,0.0,0.046,0.042,0.025,0.029,0.029
21,537577,10,4,1,4,1,21,3.906,4.1017,2.1355,1.9662,1.6667,0.0818,0.3813,6.4177,4.2983,1.0287,2.8963,1.5607,7.4799,4.3956,3.1326,0.5841,5.495,1.1161,4.8365,48.1,4.0,12.63,23.68,12.04,0.09,0.2,0.019,0.007,0.002,0.007,0.002
22,609598,15,14,3,8,5,4,0.656,4.0961,2.6312,1.4649,1.7487,0.0246,0.1985,4.8688,3.373,0.8235,1.2467,0.5774,7.0555,2.1276,1.2139,0.3642,5.0673,0.6562,3.773,49.33,5.28,15.63,21.91,7.58,0.0,0.56,0.025,0.023,0.005,0.013,0.008
23,115529,12,13,3,9,2,4,3.462,4.4404,2.5968,1.8437,1.9735,0.0692,0.1385,3.5835,3.1904,0.8656,0.831,0.6838,5.9552,2.2159,0.8916,0.528,4.6915,0.0,1.7312,58.41,5.31,15.93,12.39,7.96,0.0,0.0,0.104,0.113,0.026,0.078,0.017
24,416325,10,10,2,4,3,6,1.441,4.0233,2.6542,1.3691,1.6814,0.0168,0.1393,4.2034,4.3273,0.7206,0.8815,0.442,6.065,1.9912,1.1001,0.3411,5.1907,1.6814,2.1618,44.02,4.38,15.14,24.8,11.36,0.0,0.59,0.024,0.024,0.005,0.01,0.007
25,548662,19,16,5,6,3,28,5.103,5.2273,2.8597,2.3676,1.8864,0.1221,0.3262,4.6477,3.0675,1.1045,1.6294,0.9386,6.4265,3.7819,2.5881,0.7892,5.1544,2.1871,7.1082,45.59,4.44,12.97,24.1,13.55,0.1,0.36,0.035,0.029,0.009,0.011,0.005
26,521432,33,17,7,11,3,12,2.301,5.1224,2.9381,2.1844,1.7893,0.1112,0.4277,7.2876,6.0513,2.7424,3.9986,1.5093,8.2849,3.6131,2.0866,0.6559,5.6939,2.1096,5.9452,38.49,4.55,13.36,27.5,16.46,0.08,0.26,0.063,0.033,0.013,0.021,0.006
27,601305,8,4,1,3,1,27,4.49,4.605,2.8804,1.7246,1.9807,0.0482,0.2461,4.4137,5.636,1.6414,1.7063,1.2639,6.3562,3.2679,1.9408,0.4025,5.7857,1.3304,4.8228,39.3,5.05,16.11,25.62,14.27,0.54,0.18,0.013,0.007,0.002,0.005,0.002
28,432950,11,6,4,3,2,22,5.081,4.1275,2.5384,1.5891,1.7646,0.0554,0.2148,4.0605,5.6585,1.4921,1.954,1.2449,6.6382,2.3744,1.2865,0.3649,4.7049,0.9239,6.4673,37.82,4.03,14.88,23.29,20.54,0.71,0.41,0.025,0.014,0.009,0.007,0.005
29,927912,23,18,5,13,6,7,0.754,3.7956,2.1931,1.6025,1.6898,0.0528,0.3039,4.9401,4.0054,1.3762,1.6273,0.8568,7.3897,2.2287,0.9419,0.4138,5.3195,0.7544,4.0952,48.92,4.47,14.64,22.71,9.1,0.17,0.58,0.025,0.019,0.005,0.014,0.006
