COG,departement,type,places,gestionnaire,adresse,latitude,longitude
1004,1,FTM,112,ALFA3A,36 ALLEE DE LA BARBOTIERE,45.961141,5.336186
1004,1,CADA,140,ALFA3A,"36 ALLEE DE LA BARBOTIERE, RÉSIDENCE JEAN DE PARIS",45.961141,5.336186
1031,1,HUDA,126,ALFA3A,2 RUE GUSTAVE EIFFEL,46.253175,5.635928
1034,1,RS,132,ALFA3A,3 RUE DE L'AMITIE,45.756515,5.68615
1053,1,SPADA,N/A,ALFA3A,"7 rue de la Paix, 01000 Bourg-en-Bresse",46.204101,5.221383
1053,1,HUDA,42,ALFA3A,4 RUE AUGUSTE RENOIR,46.196776,5.253309
1053,1,OFII,N/A,Administration,"7 Rue de la Préfecture, 01000 Bourg-en-Bresse",46.191988,5.225174
1053,1,RS,14,ALFA3A,4 RUE AUGUSTE RENOIR,46.196801,5.2534
1053,1,CPH,52,ALFA3A,15 ROUTE DE SEILLON,46.185779,5.233407
1053,1,RS,81,ADOMA,29 AVENUE DE MARBOZ,46.223011,5.228822
1053,1,CADA,80,ADOMA,29 AVENUE DE MARBOZ,46.223011,5.228822
1138,1,HUDA,206,ALFA3A,AVENUE JEAN FALCONNIER,45.848121,5.787285
1160,1,RS,145,ALFA3A,12 CHEMIN DE COLOVREX,46.251694,6.120967
1185,1,HUDA,74,ALFA3A,"61, RUE JOSEPH VIALLAZ  ",45.976628,5.601283
1249,1,FTM,152,ALFA3A,111 ALLEE DES PEUPLIERS,45.829417,4.971641
1249,1,CPH,60,ALFA3A,"111 ALLEE DES PEUPLIERS, RESIDENCE DU TREVE",45.829417,4.971641
1249,1,CADA,168,ALFA3A,"111 ALLEE DES PEUPLIERS, RESIDENCE DU TREVE",45.827873,4.965855
1283,1,HUDA,43,ALFA3A,4 PLACE VAILLANT COUTURIER,46.259164,5.653747
1283,1,RS,122,ALFA3A,2 RUE LAFAYETTE,46.26022,5.644151
1289,1,HUDA,85,ADOMA,ALLÉE DES CÔTES,46.189431,5.201
1354,1,FTM,230,ALFA3A,321 ET 340 RUE DE L'EUROPE,46.242112,6.035113
1443,1,HUDA,30,ADSEA,80 CHEMIN DES OURES,45.996859,5.029021
1443,1,CADA,70,ADSEA,80 CHEMIN DES OURES,45.996859,5.029021
1451,1,HUDA,105,ALFA3A,694 A RUE DES VAREYS,46.219567,5.206361
1457,1,HUDA,46,ALFA3A,160 RUE DU 12 JUIN,46.216574,4.99522
1457,1,RS,54,ALFA3A,160 RUE DU 12 JUIN 1944,46.216574,4.99522
2018,2,CPH,50,COALLIA,"11 RUE CARNOT, APPT 8",49.506471,3.451033
2173,2,CPH,18,ACCUEIL ET PROMOTION,"RUE DU 1ER MAI, RÉSIDENCE BAILLY",49.611847,3.212767
2290,2,HUDA,21,COALLIA,45 RUE ROOSEVELT,49.025185,3.377041
2408,2,OFII,N/A,Administration,"82 Avenue de Reims, 02000 Laon",49.574278,3.633286
2408,2,HUDA,121,ACCUEIL ET PROMOTION,LE BOIS DU CHARRON,49.544928,3.585045
2408,2,CADA,104,ACCUEIL ET PROMOTION,BOIS DU CHARRON,49.544928,3.585045
2482,2,HUDA,11,COALLIA,"2 Rue De Merval, 02160 Blanzy-lès-Fismes, France",49.337886,3.675706
2555,2,DPAR,60,COALLIA,23 bis rue d’Orcamps NOGENT L’ARTAUD,49.365203,3.342656
2691,2,SEMIPM,2,,2 RUE DE LA CHAUSSEE ROMAINE,49.843802,3.27593
2705,2,CADA,35,ACCUEIL ET PROMOTION,"2 RUE DE LA SELVE, RÉSIDENCE FOCH",49.569691,3.995245
2720,2,CPH,60,ACCUEIL ET PROMOTION,"2 ROUTE DE LA SELVE, RÉSIDENCE FOCH",49.570763,3.899844
2722,2,HUDA,231,COALLIA,82 AVENUE DE REIMS,49.373978,3.34053
2722,2,SPADA,N/A,COALLIA,"82 avenue de Reims, 02200 Soissons",49.373978,3.34053
2722,2,CAES,10,COALLIA,23 RUE DE L'ORCAMPS 2200 SOISSONS,49.365147,3.342434
2722,2,HUDA,16,COALLIA,23 RUE DE L'ORCAMPS,49.365147,3.342434
2722,2,CADA,216,COALLIA,23 RUE D'ORCAMPS,49.365147,3.342434
2738,2,CADA,110,DIACONESSES DE REUILLY,13 RUE HOUDON,49.664962,3.283477
2810,2,HUDA,80,DIACONESSES DE REUILLY,16 Avenue du Rossignol,49.256845,3.088475
2810,2,CADA,40,DIACONESSES DE REUILLY,"16 AVENUE DU ROSSIGNOL, RESIDENCE HENRI VINCENT",49.256794,3.088658
3095,3,CADA,120,ADOMA,64 RUE ANTOINETTE MIZON,46.137047,3.449337
3118,3,CPH,50,VILTAÏS,2 RUE DE LA MAIRIE,46.09974,3.199029
3185,3,HUDA,94,ADOMA,RUE ALBERT EINSTEIN,46.348797,2.604242
3185,3,RS,24,,89 AVENUE ALBERT THOMAS,46.354633,2.588227
3185,3,CADA,90,VILTAÏS,8 RUE ERNEST MONTUSES,46.32413,2.618329
3186,3,HUDA,30,FORUM REFUGIES,RESIDENCE CHATEAU CHARLES,46.316226,2.962899
3186,3,CADA,100,FORUM REFUGIES,"BP 61, RESIDENCE CHATEAU CHARLES",46.316241,2.962955
3190,3,OFII,N/A,Administration,"2 Rue René Cassin, 03000 Moulins",,
3190,3,CADA,90,VILTAÏS,"9 AVENUE PROFESSEUR ETIENNE SOREL, VILTAÏS",46.543689,3.335985
3190,3,CPH,55,FORUM REFUGIES,"BOULEVARD NOMAZY, RES NOMAZY BAT H ENTREE 0006",46.5542809,3.330945997
3298,3,CADA,80,COALLIA,1 AVENUE DE LA GARE,46.318006,3.39332
3310,3,HUDA,105,ADOMA,76 AVENUE DES CELESTINS,46.124306,3.429619
4047,4,CPH,50,COALLIA,LE CHANDOURENE,44.082953,6.166107
4070,4,HUDA,144,ADOMA,40 ALLEE DES FONTAINIERS,44.093231,6.234277
4070,4,OFII,N/A,Administration,"1 Rue du Pré, 04000 Digne-les-Bains",44.076901,6.177646
4070,4,CADA,139,ADOMA,3 RUE DE LA GRANDE FONTAINE,44.093157,6.238238
5023,5,HUDA,15,COALLIA,6 AVENUE MARECHAL LECLERC,44.885594,6.635365
5023,5,CADA,60,,"118 ROUTE DE GRENOBLE, RESIDENCE LES TERRASSES",44.918614,6.621068
5061,5,HUDA,40,France Terre d’Asile,5 RUE CAPITAINE DE BRESSON,44.559337,6.08283
5061,5,OFII,N/A,Administration,"1 Rue du Colonel Roux, 05000 Gap",44.55887,6.079763
5061,5,RS,18,,22 AVENUE EMILE DIDIER,44.565375,6.092298
5061,5,CPH,50,France Terre d’Asile,"18 AVENUE EMILE DIDIER, IMMEUBLE PIGNEROL",44.565314,6.092033
5061,5,CADA,115,France Terre d’Asile,"5 RUE DU CAPITAINE DE BESSON, IMMEUBLE LE RELAIS",44.559337,6.08283
6004,6,RS,12,API PROVENCE,90 IMPASSE DE LA BRAGUE,43.607977,7.123791
6004,6,RS,50,API PROVENCE,1270 CHEMIN DES TERRIERS,43.596186,7.077538
6027,6,RS,133,ADOMA,88 ROUTE DE GRASSE,43.659781,7.133
6029,6,RS,104,ADOMA,13 IMPASSE DES BUISSONS ARDENTS,43.558073,6.963734
6030,6,RS,174,API PROVENCE,63 CHEMIN DU CLAUS,43.574316,6.988603
6030,6,RS,146,API PROVENCE,66 CHEMIN DE L'OLIVET,43.572913,6.991653
6030,6,FTM,204,ADOMA,"CHEMIN DE FONT MARIE, LES CLAUVINS",43.583734,7.021596
6032,6,RS,96,ADOMA,CHEMIN ROMARIN,43.72632,7.39978
6069,6,RS,214,ADOMA,19 AVENUE JEAN XXIII,43.659703,6.930245
