departement,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
1,671289,2.95,7,16.61,50.5,3.53,2370,37,5.51,72,89,94,90,88
10,311076,9.02,10,21.82,67.3,3.67,1142,24,7.72,83,90,118,90,112
11,377773,6.97,10,9.95,52.0,1.42,536,17,4.5,99,70,84,90,68
12,279736,3.39,5,6.25,67.9,1.32,369,6,2.14,56,47,41,69,59
13,2069811,15.89,71,16.64,88.3,4.5,9314,108,5.22,160,126,142,120,136
14,704605,4.61,8,17.65,41.3,2.23,1571,8,1.14,69,56,40,71,74
15,144399,1.66,1,8.45,50.6,2.47,357,2,1.38,46,44,24,48,58
16,351603,4.59,6,9.25,70.3,1.55,545,3,0.85,76,56,40,78,67
17,668160,3.46,7,8.76,64.3,1.38,922,5,0.75,72,45,29,70,60
18,299496,5.14,4,14.17,80.3,3.19,955,9,3.0,70,77,65,88,93
19,240120,2.22,3,8.1,76.0,1.7,408,10,4.16,58,55,62,77,68
2,525558,7.19,17,16.75,55.2,2.25,1183,14,2.66,93,67,65,87,85
21,537577,4.68,6,14.15,46.1,3.84,2064,21,3.91,77,80,75,76,88
22,609598,2.23,7,8.11,62.3,1.41,860,4,0.66,58,44,27,71,59
23,115529,2.16,1,9.23,83.3,1.9,220,4,3.46,62,53,47,62,67
24,416325,1.9,5,6.99,65.0,1.61,670,6,1.44,56,54,37,76,58
25,548662,9.42,17,14.0,52.8,3.46,1898,28,5.1,85,88,96,88,97
26,521432,6.03,12,12.33,39.4,2.03,1059,12,2.3,96,75,73,91,70
27,601305,6.21,12,15.86,41.8,2.19,1317,28,4.66,74,69,84,88,76
28,432950,7.12,11,16.89,46.9,3.13,1355,21,4.85,72,91,103,99,91
29,927912,2.51,9,10.86,51.3,1.34,1243,7,0.75,62,46,32,71,56
2A,166045,4.21,3,9.37,86.6,1.88,312,7,4.22,74,38,56,10,68
2B,185231,6.03,2,11.14,86.6,0.0,0,4,2.16,80,32,51,12,55
3,334715,4.0,6,11.68,56.7,2.5,837,13,3.88,72,62,60,76,74
30,764010,10.32,17,12.01,54.8,1.78,1360,35,4.58,98,90,118,110,82
31,1456261,5.99,19,14.05,42.1,1.99,2898,27,1.85,98,86,82,96,73
32,192649,1.44,1,6.33,54.0,1.87,360,9,4.67,58,38,47,41,53
33,1674980,4.65,25,14.4,60.0,1.78,2981,32,1.91,94,69,62,84,74
34,1217331,9.25,21,12.2,40.3,1.74,2118,44,3.61,117,90,107,107,75
35,1109232,3.44,6,14.53,37.5,1.72,1908,12,1.08,71,57,43,73,62
36,216809,5.34,4,15.9,56.0,2.35,510,3,1.38,75,64,45,88,82
37,616326,6.85,15,17.33,57.5,1.82,1122,9,1.46,79,70,61,81,79
38,1291380,5.6,24,16.43,43.5,2.99,3861,56,4.34,106,93,101,101,86
39,258405,3.8,4,11.03,61.7,2.23,576,16,6.19,61,56,78,71,72
4,167179,4.46,3,9.35,71.2,1.99,333,7,4.19,80,67,73,81,71
40,428427,1.98,5,7.24,84.8,1.61,690,3,0.7,68,49,23,74,65
41,328953,5.48,4,13.68,70.1,2.38,783,8,2.43,74,76,70,84,80
42,772041,8.4,24,17.11,54.1,2.68,2069,44,5.7,95,93,121,100,91
43,228161,1.15,2,7.68,43.9,1.67,381,3,1.32,51,43,29,64,50
44,1473156,4.44,19,13.69,41.5,2.45,3609,20,1.36,83,70,55,79,71
45,687063,7.44,19,16.52,56.8,2.95,2027,34,4.95,82,103,118,103,93
46,175620,0.86,1,5.86,65.8,2.02,355,5,2.85,54,58,45,77,56
47,332226,4.11,7,6.93,62.9,1.9,631,19,5.72,77,72,93,84,65
48,76503,1.46,1,8.1,101.3,2.24,171,2,2.61,60,56,50,86,82
49,828151,5.58,15,17.39,26.1,2.34,1938,11,1.33,65,63,50,75,72
5,141677,1.01,1,11.61,76.3,2.1,298,2,1.41,77,62,34,75,73
50,496815,3.09,7,15.56,62.1,1.47,730,3,0.6,55,39,22,60,67
51,564107,10.67,13,26.3,51.8,3.8,2144,23,4.08,98,86,87,82,115
52,169865,6.29,4,18.51,50.6,4.21,715,12,7.06,74,76,92,82,102
53,305437,2.28,3,10.89,44.5,2.14,654,4,1.31,57,58,40,69,59
54,732898,7.03,18,15.34,45.5,5.19,3804,37,5.05,76,100,96,87,109
55,180745,3.68,3,11.0,81.4,2.76,499,10,5.53,81,60,68,84,85
56,776103,2.68,9,10.16,46.7,1.65,1281,13,1.68,62,47,39,68,58
57,1050721,6.56,26,16.51,46.4,4.82,5064,53,5.04,69,107,106,101,108
58,202299,3.5,4,12.65,54.9,2.89,585,4,1.98,68,59,40,63,75
59,2616909,16.68,94,24.54,58.8,1.73,4527,108,4.13,112,87,115,104,108
6,1114579,6.35,14,11.51,62.7,4.99,5562,46,4.13,106,120,104,106,109
60,830725,8.95,19,19.69,44.3,3.29,2733,35,4.21,91,102,110,105,100
61,276144,6.08,7,15.54,51.8,1.89,522,10,3.62,67,56,65,76,75
62,1460184,11.91,64,25.48,40.8,1.06,1548,38,2.6,93,53,64,87,88
63,664385,4.28,7,13.56,56.3,2.39,1588,26,3.91,76,71,76,82,76
64,699473,2.13,4,10.91,75.0,1.89,1322,7,1.0,62,55,30,77,70
65,231453,3.96,4,10.48,65.6,2.31,535,3,1.3,66,59,36,78,75
66,492964,6.43,10,11.16,52.8,1.85,912,23,4.67,96,78,92,102,73
67,1156963,8.25,24,13.41,58.9,4.33,5010,44,3.8,69,103,99,91,104
68,767800,8.76,11,14.48,59.0,3.84,2948,35,4.56,77,104,110,102,103
69,1907982,10.23,48,21.45,24.2,3.68,7021,89,4.66,124,115,129,106,102
7,333229,2.67,5,8.99,57.8,1.04,347,15,4.5,66,53,69,83,55
70,233920,3.64,5,10.04,41.0,2.24,524,12,5.13,65,59,73,78,62
71,549136,4.91,12,15.66,44.2,2.49,1367,22,4.01,64,70,78,79,75
72,566129,5.61,7,14.64,33.9,2.64,1495,10,1.77,77,68,56,79,74
73,445288,2.94,3,16.96,73.5,2.46,1095,22,4.94,76,70,79,81,83
74,849583,2.0,6,13.6,51.8,2.94,2498,38,4.47,87,87,88,88,76
75,2113705,5.82,21,24.4,172.0,6.25,13211,56,2.65,325,209,134,143,212
76,1260205,9.82,29,24.83,39.2,3.18,4007,36,2.86,92,89,89,95,102
77,1452399,6.31,25,19.25,44.9,4.72,6855,68,4.68,93,130,121,117,112
78,1470778,7.29,22,22.52,31.9,4.57,6721,75,5.1,94,134,137,111,110
79,375415,2.38,5,8.79,56.2,1.9,713,6,1.6,58,51,35,73,61
8,267204,7.63,8,18.91,45.0,3.19,852,11,4.12,76,71,71,82,94
80,565540,6.87,10,15.54,78.2,2.4,1357,14,2.48,84,61,58,78,90
81,396168,5.24,11,8.2,55.8,1.43,567,14,3.53,66,56,65,82,62
82,264924,4.27,5,8.0,56.6,1.39,368,10,3.78,68,69,78,91,61
83,1108364,5.92,23,10.68,66.0,2.44,2704,33,2.98,100,81,82,97,80
84,568702,12.37,23,14.15,64.8,1.51,859,33,5.8,119,97,140,112,88
85,706343,1.1,4,7.68,44.1,1.6,1130,3,0.42,59,42,20,69,50
86,438688,6.06,6,11.59,64.5,2.19,961,4,0.91,73,68,48,82,76
87,372438,6.75,9,13.35,51.9,2.15,801,9,2.42,69,76,73,84,76
88,358700,4.5,6,13.77,60.0,3.32,1191,18,5.02,70,63,66,70,87
89,333896,5.33,7,13.16,48.2,2.73,912,16,4.79,74,78,88,88,80
9,155339,4.51,3,4.97,70.3,2.09,325,10,6.44,88,67,82,80,68
90,140082,11.43,7,20.45,55.3,4.25,595,8,5.71,79,115,135,109,116
91,1324546,13.75,47,24.65,52.5,6.37,8437,50,3.78,117,174,154,138,153
